LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal
LRP492,493.832,Km Post,Tetulia 18 km,26.4766938,88.5044722
LRP492a,493.888,Culvert,Box culvert,26.4765271,88.5035833
LRP492b,494.028,Culvert,Box Culvert,26.4762216,88.5026389
LRP492c,494.702,Culvert,Box Culvert,26.4736382,88.4964719
LRP493,494.832,Km Post,Banglabandha 31 km,26.4728604,88.4956386
LRP493a,495.369,"Side Road, Left",Left Z 5060,26.4702216,88.4912774
LRP494,495.684,Km Post,Banglabandha 30 km,26.4682493,88.4888886
LRP494a,495.982,Bridge,Start of Bridge,26.4683604,88.4864163
LRP494b,496.12,Bridge,End of Bridge,26.4693604,88.485583
LRP495,496.835,Km Post,Tetulia 15 km,26.4706382,88.4786382
LRP495a,497.433,Culvert,Box culvert,26.470916,88.4728327
LRP496,497.855,Km Post,Tetulia 14 km,26.4711938,88.4684438
LRP496a,498.773,Bridge,Start of Bridge,26.4718327,88.4594167
LRP496b,498.811,Bridge,End of Bridge,26.4718882,88.4591111
LRP497,498.855,Km Post,Shipaipara 22 km,26.4719716,88.4585278
LRP497a,499.797,Culvert,Box Culvert,26.4750827,88.4498052
LRP498,499.855,Km Post,Ronchondi 14 km,26.4752771,88.4494441
LRP498a,500.493,Culvert,Box culvert,26.4763882,88.4433886
LRP499,500.855,Km Post,Banglabandha 25 km,26.4763604,88.4397774
LRP499a,501.373,Bridge,Start of bridge,26.4787771,88.435583
LRP499b,501.493,Bridge,End of bridge,26.4791938,88.4351386
LRP500,501.875,Km Post,Tetulia 10 km,26.4808049,88.4310271
LRP501,502.855,Km Post,Tirroyhat 15 km,26.4832771,88.421916
LRP501a,503.175,Culvert,Box culvert,26.4837497,88.4187493
LRP502,503.855,Km Post,Banglabandha 22 km,26.4851386,88.4120278
LRP502a,504.228,Culvert,Box Culvert,26.4864163,88.4086389
LRP503,504.855,Km Post,Tetulia 7 km,26.4873886,88.4024167
LRP503a,504.955,Culvert,Box Culvert,26.4876108,88.4015278
LRP504,505.855,Km Post,Banglabandha 20 km,26.4884997,88.3924997
LRP504a,505.934,Culvert,Box culvert,26.488583,88.3916386
LRP505,506.835,Km Post,Tetulia 5 km,26.4885552,88.3825271
LRP505a,507.253,Culvert,Box culvert,26.488833,88.3786104
LRP505b,507.463,"Side Road, Left",Road Left Z5080,26.4888886,88.3772493
LRP505c,507.753,Culvert,Box Culvert,26.489333,88.3743882
LRP505d,508.266,Culvert,Box Culvert,26.4906108,88.3694716
LRP505e,508.323,Bridge,Start of bridge,26.4907497,88.368916
LRP505f,508.439,Bridge,End of Bridge,26.4909997,88.3678604
LRP506,508.933,Km Post,Banglabandha 17 km,26.493083,88.3637222
LRP506a,509.003,Culvert,Box Culvert,26.4936386,88.3634722
LRP506b,509.183,Culvert,Box Culvert,26.4951941,88.3628611
LRP506c,509.573,Culvert,Box Culvert,26.4984719,88.3615556
LRP506d,509.863,Bridge,Start of bridge,26.5010833,88.3605833
LRP506e,509.883,Bridge,End of Bridge,26.5011667,88.3605
LRP507,509.943,Km Post,Banglabandha 16 km,26.5015833,88.3603333
LRP507a,510.433,Culvert,Box Culvert,26.5056389,88.35875
LRP507b,510.873,Culvert,Box Culvert,26.5094444,88.3572778
LRP507c,510.893,Culvert,Box Culvert,26.5096111,88.3571944
LRP508,510.953,Km Post,Banglabandha 15 km,26.5100833,88.357
LRP508a,511.303,Culvert,Pipe Culvert,26.513,88.3558889
LRP508b,511.313,Culvert,Pipe Culvert,26.5131111,88.3558056
LRP508c,511.623,"Side Road, Left",Side road left Z5080,26.5156944,88.3550278
LRP509,511.953,Km Post,Km post missing,0.0,0.0
LRP510,512.023,Km Post,Ronchondi 2 km,26.5184438,88.3568333
LRP510a,512.913,Culvert,Box Culvert,26.5254993,88.3608889
LRP511,513.033,Km Post,Triyarhat 5 km,26.5263604,88.3614167
LRP511a,513.808,Bridge,Start of Bridge,26.5328049,88.3642778
LRP511b,513.855,Bridge,End of Bridge,26.5332216,88.3644167
LRP512,514.033,Km Post,Km post missing,26.5351941,88.3650278
LRP513,515.033,Km Post,Banglabandha 11 km,26.542833,88.3531389
LRP514,516.033,Km Post,Banglabandha 10 km,26.5509444,88.3747771
LRP515,517.033,Km Post,Tirroyhat 1 km,26.5588056,88.3790549
LRP515a,517.711,Culvert,Masonry Culvert,26.5641944,88.3819438
LRP516,518.033,Km Post,Banglabandha 8 km,26.5669716,88.3834163
LRP516a,518.177,Bridge,Start of Bridge,26.5681382,88.384083
LRP516b,518.221,Bridge,End of Bridge,26.5684993,88.3842774
LRP517,519.033,Km Post,Sttiporipara 2 km,26.5750827,88.3878608
LRP517a,519.533,Culvert,Box Culvert,26.582666,88.3920552
LRP518,520.033,Km Post,Banglabandha 6 km,26.5832216,88.3922774
LRP518a,520.822,Culvert,Box Culvert,26.5896108,88.3957497
LRP519,521.033,Km Post,Banglabandha 5 km,26.591333,88.3966941
LRP520,522.033,Km Post,Banglabandha 4 km,26.5994719,88.401
LRP520a,522.096,Culvert,Box Culvert,26.6001667,88.4013889
LRP521,523.033,Km Post,Banglabandha 3 km,26.6076667,88.4054722
LRP521a,523.882,Culvert,Box culvert,26.6146111,88.4090556
LRP522,524.033,Km Post,Banglabandha 2 km,26.6159444,88.4094167
LRP523,525.033,Km Post,Banglabandha 1 km,23.6245827,88.4121667
LRP524,526.013,Km Post,Banglabandha 0 km,26.6331938,88.41475
LRPE,526.033,Others,"End at N5 at Banglabandha Zero Point ,India Bangladesh Barder.",26.6332216,88.4148333
,,,,,
,,,,,
LRPS,0.0,Others,Road start from Diabari More,23.7985552,90.3434163
LRP001,0.952,Km Post,Km post missing,23.8061389,90.3425274
LRP002,1.951,Km Post,Ashulia 14km,23.8143889,90.3406663
LRP003,2.951,Km Post,Info missing,23.8230549,90.3420552
LRP003a,3.914,Culvert,Slice gate,23.8289716,90.3431941
LRP004,3.951,Km Post,Km post broken,23.829666,90.3426108
LRP004a,4.876,Culvert,Sluice gate,23.837083,90.340083
LRP005,4.951,Km Post,info missing,23.8378608,90.3401941
LRP006,5.951,Km Post,Ashulia 9km,23.8453886,90.3410274
LRP006a,6.611,"Side Road, Left","N511, Birulia - Ashulia Road",23.8508611,90.3410552
LRP007,6.951,Km Post,Ashulia 8km,23.8534722,90.3428608
LRP008,7.951,Km Post,Ashulia 7km,23.8605833,90.3488052
LRP009,8.951,Km Post,Ashulia 6km,23.8687493,90.3529722
LRP010,9.951,Km Post,Ashulia 5km,23.8605556,90.3543611
LRP011,10.951,Km Post,Km post Broken,23.8837774,90.3605556
LRPE,11.942,Others,The road ends intersecting N302 at Dhour,23.8922497,90.3618056
,,,,,
,,,,,
LRPS,0.0,Others,Road start from N 5 at Jahangirabad Bogra,24.821916,89.36275
LRP001,0.01,Km Post,Nababgonj 159 lm,24.8218882,89.3626389
LRP001a,0.45,Culvert,Box culvert,24.8200271,89.35925
LRP002,1.0,Km Post,Rajshshi 113 km,24.8151667,89.3576111
LRP002a,1.537,Culvert,Box culvert,24.8105,89.3565833
LRP003,2.0,Km Post,Km post Broken,24.8063056,89.3561667
LRP003a,2.542,Culvert,Brick Machinary Culvert,24.8016667,89.3554722
LRP004,3.01,Km Post,Natore 60 km,24.7974163,89.3545
LRP004a,3.532,Culvert,Box Culvert,24.7928608,89.3534444
LRP005,4.0,Km Post,Nababgonj 155 km,24.7888052,89.3525833
LRP006,5.0,Km Post,LRP 005 R C C post,24.7799993,89.3505278
LRP006a,5.934,Culvert,Brick Machinary Culvert,24.7717493,89.3486663
LRP007,6.02,Km Post,Pabna 117 km,24.7709438,89.3484719
LRP008,7.02,Km Post,Km post missing,24.76225,89.3464441
LRP008a,7.936,Culvert,Brick Manory Culvert,24.7541111,89.344583
LRP009,8.02,Km Post,Nawabganj 151 km,24.7533333,89.344333
LRP010,9.02,Km Post,Km post missing,24.7461663,89.3383886
LRP010a,9.237,Culvert,Brick Masonry Culvert,24.7448886,89.3371108
LRP011,10.02,Km Post,Pabna 113 km,24.7394997,89.331916
LRP012,11.02,Km Post,Natore 52 km,24.7326382,89.3253049
LRP012a,11.62,Bridge,Start of Bridge,24.7290827,89.3212771
LRP012b,11.64,Bridge,End of Bridge,24.7289438,89.3211104
LRP013,12.02,Km Post,Info missing,24.7263882,89.3182493
LRP014,13.02,Km Post,Km post missing,24.7183327,89.3145833
LRP014a,13.422,Culvert,Brick Masonry Culvert,24.7146667,89.3143611
LRP015,14.02,Km Post,Pabna 109 km,24.7095278,89.3130833
LRP015a,14.432,Culvert,Brick Masonry Cxulvert,24.7066944,89.3106944
LRP016,15.02,Km Post,Natore 48 km,24.7024722,89.3068889
LRP016a,15.042,Culvert,Brick Masonry Culvert,24.7023333,89.3067222
LRP017,16.03,Km Post,Nababgonj 143 km,24.7122222,89.3006111
LRP018,17.03,Km Post,Rajshahi 97 km,24.6885552,89.294333
LRP019,18.03,Km Post,Pabna 105 km,24.6816382,89.288083
LRP020,19.03,Km Post,Natore 44 km,24.6747493,89.281666
LRP020a,19.936,"Side Road, Right",side road right Z 5207,24.668666,89.2756382
LRP021,20.03,Km Post,Nababgonj 139 km,24.6681104,89.2750549
LRP022,21.02,Km Post,Info missing,24.6614167,89.2683604
LRP023,22.02,Km Post,Pabna 101 km,24.6546111,89.2618611
LRP023a,22.556,"Side Road, Left",Side road left Z 5034,24.6508889,89.2583333
LRP024,23.02,Km Post,Km post missing,24.6474441,89.2560556
LRP025,24.02,Km Post,Nabagonj 135 km,24.6395552,89.2511944
LRP026,25.02,Km Post,Info missing,24.6482774,89.2463886
LRP026a,25.578,"Side Road, Right",Side road right Z 5202,24.627416,89.0271104
LRP027,26.02,Km Post,Km post missing,24.6242216,89.241833
LRP028,27.03,Km Post,Info missing,24.61475,89.240833
LRP029,28.03,Km Post,Km post missing,24.6061667,89.240083
LRP030,29.03,Km Post,Rajshahi 85 km,24.5968886,89.2380552
LRP030a,29.1,Bridge,Start of Bridge,24.5966108,89.2379441
LRP030b,29.11,Bridge,End of Bridge,24.596583,89.2379163
LRP030c,29.685,Bridge,Start of Bridge,24.5917497,89.2358608
LRP030d,29.695,Bridge,End of Bridge,24.5916663,89.235833
LRP031,30.03,Km Post,Pabna 93 km,24.5891386,89.2332216
LRP032,31.03,Km Post,Km post broken,24.5824993,89.2265271
LRP032a,31.513,Others,Bogra RHD end/ Natore RHD Start,24.5802771,89.2242493
LRP032a,31.513,Others,Bogra RHD end/ Natore RHD Start,24.5802771,89.2242493
LRP033,32.03,Km Post,Km post Broken,24.5758327,89.2198049
LRP033a,32.385,Culvert,Brick Masonry Culvert,24.5736104,89.2175549
LRP033b,32.708,Culvert,Brick Masonry Culvert,24.5715271,89.2154444
LRP034,33.03,Km Post,Km post missing,24.5693604,89.2128889
LRP034a,33.802,Culvert,Box culvert,24.5649722,89.2077778
LRP035,34.03,Km Post,Km post missing,24.5635278,89.2060278
LRP035a,34.934,Culvert,Box Culvert,24.5578333,89.2159444
LRP036,35.03,Km Post,Natore 28 km,24.5571667,89.2150833
LRP036a,35.24,Bridge,Start of bridge,24.5559167,89.1969719
LRP036b,35.28,Bridge,End of bridge,24.5556944,89.1967219
LRP036c,35.35,"Side Road, Left",Side road,24.5552778,89.1963886
LRP037,36.03,Km Post,Nababgonj 123 km,24.5506944,89.1916941
LRP037a,36.21,Bridge,Start of bridge,24.5495552,89.1908608
LRP037b,36.225,Bridge,End of bridge,24.5494719,89.1908052
LRP038,37.03,Km Post,Rajshahi 77 km,24.5431941,89.1862497
LRP038a,37.045,Bridge,Start of bridge,24.5431663,89.1695271
LRP038b,37.085,Bridge,End of bridge,24.5428886,89.1693327
LRP039,38.03,Km Post,Info missing,24.5357774,89.1806104
LRP039a,38.39,Bridge,Start of bridge,24.5334997,89.1784438
LRP039b,38.45,Bridge,End of bridge,24.533166,89.1781382
LRP040,39.03,Km Post,Natore 24 km,24.5290549,89.1741104
LRP040a,39.315,Bridge,Start of bridge,24.5272493,89.1724438
LRP040b,39.385,Bridge,End of bridge,24.5267493,89.1719438
LRP041,40.03,Km Post,Km post missing,24.5223327,89.1677216
LRP041a,40.675,Bridge,Start of bridge,24.5181104,89.1636389
LRP041b,40.755,Bridge,End of bridge,24.5175827,89.1631389
LRP042,41.03,Km Post,Km post missing,24.5157778,89.1613889
LRP042a,41.19,Bridge,Start of bridge,24.5146944,89.1603333
LRP042b,41.27,Bridge,Endof bridge,24.5141667,89.1598889
LRP043,42.03,Km Post,Start of bridge,24.50875,89.1546389
LRP043a,42.12,Bridge,End of Bridge,24.5083889,89.1542778
LRP043b,42.21,Bridge,Start of bridge,24.5078889,89.1538333
LRP044,43.025,Km Post,Km post missing,24.5022778,89.1484163
LRP044a,43.035,"Side Road, Left",Side road,24.4999719,89.1428608
LRP044b,43.1,Bridge,Start of bridge,24.5018056,89.1479719
LRP044c,43.11,Bridge,End of Bridge,24.5017222,89.1478886
LRP044d,43.19,"Side Road, Left",Road to Tarash Z 5208,24.5013333,89.147583
LRP044e,43.7,"Side Road, Left",Road to Chatmohor Z 5209,24.4999719,89.1428886
LRP045,44.01,Km Post,Nababgonj 115 km,24.4998886,89.1399441
LRP045a,44.03,Bridge,Start of Atrai river bridge,24.4999163,89.1397219
LRP045b,44.155,Bridge,End of bridge,24.4998886,89.1385274
LRP046,45.01,Km Post,Km post missing,24.4996663,89.1299438
LRP046a,45.495,"Side Road, Right",Side road right to Atrai Z 5469,24.4989441,89.1251382
LRP046b,45.855,Bridge,Start of bridge,24.4983886,89.1216104
LRP046c,45.87,Bridge,end of Bridge,24.4983608,89.1214993
LRP047,46.0,Km Post,Km post missing,24.4982497,89.1202493
LRP047a,46.31,Bridge,Start of bridge,24.4977497,89.1173049
LRP047b,46.32,Bridge,End of bridge,24.4977219,89.117166
LRP048,47.0,Km Post,Km post missing,24.496833,89.1105556
LRP048a,47.685,Bridge,Start of bridge,24.4949997,89.1041944
LRP048b,47.705,Bridge,End of bridge,24.4948608,89.1039722
LRP049,48.0,Km Post,Nababgonj 111 km,24.4927497,89.1016667
LRP049a,48.255,"Side Road, Right",Side road right to Sharkutia Z 5210,24.4912497,89.1006944
LRP049b,48.44,Bridge,Start of bridge,24.4896663,89.1001111
LRP049c,48.49,Bridge,End of bridge,24.4891663,89.0998886
LRP050,49.0,Km Post,Rajshahi 65 km,24.4845274,89.0977497
LRP050a,49.13,Bridge,Start of bridge,24.4839163,89.0972774
LRP050b,49.17,Bridge,End of Bridge,24.4837774,89.0971663
LRP051,50.0,Km Post,Km post missing,24.479166,89.0901386
LRP051a,50.793,Culvert,Box culvert,24.4755549,89.0837497
LRP052,51.01,Km Post,Km post missing,24.4743882,89.0816938
LRP053,52.01,Km Post,Km post broken,24.4684993,89.0733882
LRP053a,52.44,Bridge,Start of bridge,24.4679993,89.0701104
LRP053b,52.452,Bridge,End of bridge,24.4679716,89.0700549
LRP054,53.01,Km Post,Rajshahi 61 km,24.4655556,89.065
LRP054a,53.265,Bridge,Star of bridge,24.4646111,89.0629444
LRP054b,53.273,Bridge,End of bridge,24.4645556,89.0628611
LRP055,54.01,Km Post,Km post broken,24.4614167,89.0561944
LRP055a,54.802,Others,Sluice gate start,24.4558611,89.0527778
LRP055b,54.82,Others,Sluice gate end,24.4556667,89.0527222
LRP056,55.01,Km Post,Info missing,24.4536944,89.0527222
LRP056a,55.862,Culvert,Box Culvert,24.4487219,89.0472774
LRP057,56.01,Km Post,Km post missing,24.448083,89.0456386
LRP057a,56.13,"Side Road, Left",Side road left Gurudaspur Z 5211,24.4477219,89.0449163
LRP057b,56.61,Bridge,Start of bridge,24.445833,89.0404997
LRP057c,56.62,Bridge,End of Bridge,24.4456663,89.0401663
LRP058,57.01,Km Post,Km post missing,24.4439163,89.0347497
LRP058a,57.365,Bridge,Start of bridge,24.4436663,89.0337497
LRP058b,57.38,Bridge,End of bridge,24.4436386,89.0336386
LRP059,58.02,Km Post,Pabna 65 km,24.4416663,89.0273327
LRP059a,58.115,Bridge,Start of Bridge,24.4414719,89.0266382
LRP059b,58.127,Bridge,End of Bridge,24.4414163,89.0265827
LRP059c,58.915,Bridge,Start of Bridge,24.4379441,89.0198327
LRP059d,58.925,Bridge,End of bridge,24.4379163,89.0197216
LRP060,59.01,Km Post,Natore 4 km,24.4375274,89.0184716
LRP060a,59.576,Culvert,Box Culvert,24.4365274,89.0134167
LRP061,60.01,Km Post,Nababgonj 99 km,24.435083,89.0091389
LRP061a,60.11,"Side Road, Right",Side road right Z 5212,24.4349997,89.0088611
LRP061b,60.21,Bridge,Start of Bridge,24.434083,89.00825
LRP061c,60.22,Bridge,End of bridge,24.4340274,89.0082222
LRP061d,60.657,Culvert,Box Culvert,24.430666,89.0059167
LRP062,61.01,Km Post,Km post missing,24.427916,89.0039167
LRP062a,61.946,Culvert,Box Culvert,24.4202493,89.0011111
LRP063,62.01,Km Post,Km post missing,24.4194993,89.0004167
LRP063a,62.945,Others,Madrasha more lsland,24.4124167,88.9963608
LRP064,63.28,Km Post,Natore 0 km,24.4119444,88.9961108
LRPE,63.29,Others,"End at Madrasha more,Natore.",24.4118889,88.9961108
,,,,,
,,,,,
LRPS,0.0,Others,Road start with N 5 at Utholi.,23.8435552,89.8113333
LRPSa,0.268,Culvert,Box culvert,23.8427497,89.809
LRPSb,0.848,Bridge,Bridge start,23.8413052,89.8035556
LRPSc,0.869,Bridge,Bridge end,23.8412774,89.8034722
LRP001,1.0,Km Post,Km post missing,23.8409441,89.8014444
LRP001a,1.183,Bridge,Bridge start,23.8404997,89.8005556
LRP001b,1.214,Bridge,Bridge end,23.8404441,89.8002778
LRP001c,1.526,Bridge,Bridge start,23.8398052,89.7973052
LRP001d,1.575,Bridge,Bridge end,23.8397219,89.7968608
LRP002,2.0,Km Post,Km post missing,23.8387497,89.7927219
LRP002a,2.412,Bridge,Bridge start,23.8378886,89.7888886
LRP002b,2.435,Bridge,Bridge end,23.8378886,89.7886663
LRP003,2.831,Km Post,Aricha,23.8369441,89.7849719
LRPE,3.269,Others,Road end with Aricha ghat.,23.8359441,89.7807771
,,,,,
,,,,,
LRPS,0.0,Others,"Start at Kashinathpur Round About and Intersection at N6,N5 and N504,Bera,Pabna.",23.9580556,89.6071944
LRP001,0.675,Km Post,Nagarbari 4 km,23.9546389,89.6127778
LRP001a,1.092,Culvert,2 Vent Box culvert,23.9530556,89.6165556
LRP002,1.665,Km Post,Dhaka 107 km,23.9528333,89.6219716
LRP002a,1.77,Culvert,Box culvert,23.9530556,89.6230549
LRP003,2.665,Km Post,Nagarbari 2 km,23.9533056,89.6486941
LRP003a,2.87,Culvert,Box culvert,23.9530556,89.6336386
LRP003b,3.307,Bridge,Start of bridge,23.9521389,89.6378052
LRP003c,3.355,Bridge,End of bridge,23.9521389,89.6382219
LRP004,3.667,Km Post,Nagarbari 1 km,23.9526944,89.641083
LRP005,4.667,Km Post,Km post missing,23.947333,89.6507778
LRP005a,5.587,Others,Road was Broken by River Wave,23.9427497,89.6521389
LRPE,6.653,Others,Survey not done,0.0,0.0
,,,,,
,,,,,
LRPS,0.0,Others,"Start at Hanif more intersection at N5 Baderhat, bera, Pabna.",23.892583,89.6530278
LRPSa,0.224,Culvert,Box Culvert,23.8913608,89.6548611
LRP001,0.6,Km Post,Kazirhat 2 km,23.8889719,89.6574722
LRP002,1.6,Km Post,Km post missing,23.8818882,89.6638333
LRP002a,1.731,Bridge,Baily bridge start,23.880916,89.6643889
LRP002b,1.864,Bridge,Baily bridge end,23.8798604,89.665
LRP003,2.6,Km Post,Km post missing,23.873916,89.6688327
LRP003a,2.7,Others,End Bituminus road,23.8732771,89.6692216
LRP004,3.6,Km Post,Km post missing,23.8665278,89.6740827
LRPE,4.4,Others,River ( Maldharhar),23.8635833,89.6811938
,,,,,
,,,,,
LRPS,0.0,Others,"Start from N517 at park and more , Rangpur.",25.7161111,89.2623056
LRP001,0.028,Km Post,"Kurigram 50 km,Burangamari 89 km",25.7161944,89.2624444
LRP001a,0.165,Culvert,Box culvert,25.7169438,89.2635833
LRP002,1.028,Km Post,"Kurigram 49 km,chilmari 79 km",25.7211104,89.2706382
LRP002a,1.276,Culvert,Box culvert,25.7225827,89.2724716
LRP003,2.028,Km Post,Km post broken,25.7271382,89.278166
LRP003a,2.156,Culvert,Box culvert,25.7279716,89.2791938
LRP003b,2.717,Bridge,Start of bridge,25.7312493,89.2833886
LRP003c,2.737,Bridge,End of bridge,25.7313049,89.2834441
LRP004,3.025,Km Post,"Kurigram 47 km,nagesshori 69 km",25.7329993,89.2856108
LRP004a,3.076,Culvert,Box culvert,25.7333049,89.2859997
LRP004b,3.245,Round About,Right Z 5010,25.7342497,89.2872219
LRP004c,3.462,Culvert,Box culvert,25.7344441,89.2893886
LRP004d,3.695,Cross Road,,25.7341386,89.291333
LRP005,4.035,Km Post,"Lalmonirhat 40 km,Burungamari 86 km",25.7337219,89.2949441
LRP005a,4.358,Culvert,Box culvert,25.7333886,89.2981386
LRP005b,4.746,Culvert,Box culvert,25.7345274,89.3016389
LRP006,5.04,Km Post,"Patgram 123 km,nagesshori 57 km",25.7349163,89.3046389
LRP007,6.04,Km Post,"Kurigram 44 km,lalmonirhat 38 km",25.7360552,89.3145556
LRP008,7.04,Km Post,"Varungamari 82 km,Chilmari 73 km",25.7409719,89.321666
LRP008a,7.416,Culvert,Box culvert,25.744083,89.3231938
LRP009,8.035,Km Post,"Lalmonirhat 36 km,patgram 120 km",25.748083,89.327416
LRP009a,8.615,Bridge,Start of bridge R C C,25.7517778,89.3314716
LRP009b,8.646,Bridge,End of bridge R C C,25.7519722,89.3317216
LRP010,9.04,Km Post,"Kurigram 41 km,nagesshori 63 km",25.7545,89.3344719
LRP011,10.04,Km Post,"Patgram 118 km,vurungamari 79 km",25.7585556,89.3431941
LRP011a,10.353,Culvert,Box culvert,25.7591111,89.3462219
LRP012,11.04,Km Post,"Kurigram 39 km,Patgram 117 km",25.7590556,89.3531389
LRP012a,11.49,Culvert,Box culvert,25.7602222,89.3574722
LRP013,12.04,Km Post,"Kurigram 38 km,nagesshori 60 km",25.76125,89.3628333
LRP013a,12.436,Culvert,Pipe culvert,25.7622222,89.3663889
LRP014,13.035,Km Post,"Lalmonirhat 31 km,Vurungamari 76 km",25.7636944,89.3723882
LRP014a,13.913,Bridge,Start of bridge R C C,25.7661111,89.3806938
LRP014b,13.946,Bridge,End of bridge R C C,25.7661667,89.3809993
LRP015,14.035,Km Post,Km post missing,25.7665,89.3820827
LRP016,15.025,Km Post,"Chilmari 65 km,Nagesshori 67 km",25.7666389,89.3917497
LRP016a,15.952,Culvert,Box culvert,25.7673327,89.4009444
LRP017,16.02,Km Post,"Kurigram 34 km,Vurungamari 73 km",25.767416,89.4015
LRP018,17.02,Km Post,Cilmari 63 km Pathgram 111 km,25.7684438,89.4115
LRP018a,17.057,Rail Road Crossing,Rail road crossing,25.7684716,89.4118333
LRP018b,17.304,Culvert,Box culvert,25.7687771,89.4143889
LRP019,18.02,Km Post,"Kurigram 32 km,patgram 110 km",25.7697771,89.4213882
LRP020,19.02,Km Post,"Lalmonirhat 26 km,nagesshori 53 km",25.7763604,89.428166
LRP020a,19.62,Culvert,Box Culvert,25.7803604,89.4323327
LRP020b,19.91,Culvert,Box Culvert,25.7819438,89.4345274
LRP021,20.03,Km Post,"Kurigram 30 km,patgram 108 km",25.7826938,89.4353886
LRP021a,20.3,Culvert,Box Culvert,25.7848052,89.4367497
LRP021b,20.61,Bridge,Teesta Bridge,25.7873052,89.4381663
LRP022,21.03,Km Post,Km post missing,25.790833,89.4401663
LRP022a,21.361,Bridge,Teesta Bridge,25.793333,89.4416108
LRP022b,21.46,Others,End RHD Rangpur/Start RHD Lalmonirhat,25.793333,89.4416108
LRP022b,21.46,Others,End RHD Rangpur/Start RHD Lalmonirhat,25.793333,89.4416108
LRP022c,21.615,Culvert,Over pass,25.795333,89.4426663
LRP022d,21.99,Culvert,Box Culvert,25.7982497,89.444333
LRP023,22.03,Km Post,"Lalmonirhat 23 km,nagesshori 50 km",25.798583,89.4445552
LRP023a,22.292,Culvert,Box culvert,25.8031667,89.4456663
LRP023b,22.57,Culvert,Box Culvert,25.8031667,89.4462219
LRP024,22.87,Km Post,Kurigram 27 km,25.8058333,89.4466108
LRP024a,22.94,"Side Road, Right",Side road right Z 5611,25.8063889,89.4466663
LRP024b,23.06,Bridge,Start of bridge R C C,25.8074167,89.446833
LRP024c,23.08,Bridge,End of bridge R C C,25.8075833,89.4468886
LRP024d,23.71,Culvert,Box culvert,25.8131389,89.4477219
LRP024e,23.74,Rail Road Crossing,Rail road crossing,25.8133056,89.4477497
LRP024f,23.747,Culvert,Pipe Culvert,25.8135556,89.4477497
LRP025,23.84,Km Post,Km post broken,25.8146944,89.4479163
LRP025a,24.54,Culvert,Box culvert,25.8204438,89.4487774
LRP026,24.84,Km Post,Kurigram 25 km,25.8231938,89.45
LRP026a,24.9,Culvert,Box culvert,25.8235271,89.4505278
LRP027,25.85,Km Post,Kurigram 24 km,25.828416,89.4581667
LRP027a,26.369,Culvert,Box culvert,25.8311104,89.4618333
LRP027b,26.522,Culvert,Box culvert,25.8319716,89.4629167
LRP028,26.8,Km Post,Kurigram 23 km,25.8336941,89.4655556
LRP028a,26.902,Bridge,Start of bridge,25.8338608,89.4659444
LRP028b,26.916,Bridge,End of bridge,25.8339997,89.4661111
LRP029,27.85,Km Post,Kurigram 22 km,25.8387774,89.474416
LRP029a,28.652,Culvert,Box culvert start,25.8430274,89.4801382
LRP029b,28.662,Culvert,Box culvert end,25.843083,89.4802216
LRP030,28.85,Km Post,Kurigram 21 km,25.8446108,89.4818882
LRP030a,29.656,Culvert,Box culvert,25.8498052,89.4866663
LRP031,29.85,Km Post,Km post broken,25.8516111,89.4881941
LRP031a,30.24,Bridge,Start of bridge R C C,25.8538889,89.4900552
LRP031b,30.256,Bridge,End of bridge R C C,25.8540278,89.4901941
LRP032,30.877,Km Post,Kurigram 19 km,25.8590556,89.4938886
LRP032a,31.726,Culvert,Box culvert,25.864,89.4999163
LRP033,31.877,Km Post,Km post broken,25.8650833,89.5013056
LRP033a,32.904,"Side Road, Left",N 509,25.8530833,89.51025
LRP034,32.917,Km Post,Km post broken,25.8532778,89.5105
LRP034a,33.573,Monument,Barobarihat shahid sriti shoudha,25.8724993,89.5155556
LRP035,33.867,Km Post,Kurigram 16 km,25.8727493,89.5189716
LRP036,34.867,Km Post,Kurigram 15 km,25.869916,89.5283049
LRP036a,35.167,Culvert,Box culvert,25.8681382,89.5304993
LRP037,35.867,Km Post,Km post Broken,25.8645833,89.5361941
LRP037a,36.293,Culvert,Box culvert,25.8635278,89.5400552
LRP038,36.867,Km Post,Kurigram 13 km,25.8621944,89.545583
LRP038a,37.465,Culvert,Box culvert,25.86,89.5508889
LRP038b,37.467,Others,End RHD Lalmonirhat/Start RHD Kurigram,25.86,89.5509167
LRP038b,37.467,Others,End RHD Lalmonirhat/Start RHD Kurigram,25.86,89.5509167
LRP039,37.897,Km Post,Kurigram 12 km,25.8578889,89.5544444
LRP039a,38.037,Culvert,Box Culvert,25.8573333,89.5556944
LRP040,38.897,Km Post,Kurigram 11 km,25.8559444,89.5637778
LRP041,39.897,Km Post,Kurigram 10 km,25.8536667,89.5732493
LRP042,40.917,Km Post,Kurigram 09 km,25.8498608,89.5823882
LRP043,41.917,Km Post,Kurigram 08 km,25.8439997,89.589833
LRP043a,42.356,Bridge,Start of Bridge R C C,25.8430552,89.5941663
LRP043b,42.388,Bridge,End of Bridge R C C,25.8429997,89.5945274
LRP044,42.947,Km Post,Kurigram 07 km,25.8419163,89.5994997
LRP045,43.947,Km Post,Kurigram 06 km,25.8365552,89.5905274
LRP045a,44.232,Bridge,Staer of bridge R C C,25.8344441,89.6090556
