road,chainage,lrp,lat,lon,gap,type,name,length
N401,7.0,LRP007,24.6459163,90.0784716,,KmPost,Rosulpur 8 km,46.98
N401,8.005,LRP008,24.6536389,90.0836108,,KmPost,Rosulpur 7 km,46.98
N401,8.99,LRP008a,24.6606667,90.0884719,,Culvert,Pipe Culvert,46.98
N401,9.01,LRP009,24.6612778,90.0889441,,KmPost,Rosulpur 6 km,46.98
N401,9.58,LRP009a,24.6642778,90.0915274,,Culvert,Pipe Culvert,46.98
N401,10.01,LRP010,24.6672493,90.0961663,,KmPost,Km post missing,46.98
N401,11.01,LRP011,24.6702216,90.1054444,,KmPost,Rosulpur 4 km,46.98
N401,11.995,LRP011a,24.6736938,90.1142222,,Culvert,Box culvert,46.98
N401,12.01,LRP012,24.6738327,90.1144444,,KmPost,Rosulpur 3 km,46.98
N401,13.01,LRP013,24.6746938,90.1240827,,KmPost,Rosulpur 2 km,46.98
N401,13.103,LRP013a,24.6753604,90.1245271,,Culvert,Box culvert,46.98
N401,13.403,LRP013b,24.6777493,90.1268882,,Culvert,Box culvert,46.98
N401,13.796,LRP013c,24.6804716,90.1282216,,Culvert,Box culvert,46.98
N401,14.01,LRP014,24.6819993,90.1294438,,KmPost,Mymensingh 33 km,46.98
N401,14.97,LRP015,24.6876941,90.1368886,,KmPost / KmPost,Mymensingh 32 km  /Start of Mymensingh Road Division / Mymensingh 32 km  /Start of Mymensingh Road Division,46.98
N401,15.651,LRP015a,24.6904163,90.1423886,,Culvert,Box culvert,46.98
N401,16.095,LRP016,24.6928052,90.1451663,,KmPost,Mymensingh 31 km,46.98
N401,16.114,LRP016a,24.6933886,90.1456108,,Culvert,Box culvert,46.98
N401,17.005,LRP017,24.6999163,90.1502222,,KmPost,Km post missing,46.98
N401,17.022,LRP017a,24.6999719,90.1503889,BS,Bridge,Bridge start,46.98
N401,17.062,LRP017b,24.7001111,90.1507222,BE,Bridge,Bridge end,46.98
N401,17.694,LRP017c,24.7045278,90.1545278,,Culvert,Box culvert,46.98
N401,18.035,LRP018,24.7070278,90.1568056,,KmPost,Mymensingh 29 km,46.98
N401,18.353,LRP018a,24.7092222,90.1592222,,Culvert,Box culvert,46.98
N401,19.03,LRP019,24.7129722,90.1641111,,KmPost,Mymensingh 28 km,46.98
N401,19.344,LRP019a,24.7146111,90.1666389,,Culvert,Box culvert,46.98
N401,19.92,LRP020,24.7168049,90.1717216,,KmPost,Mymensingh 27 km,46.98
N401,20.635,LRP020a,24.7195549,90.1781382,,Culvert,Box culvert,46.98
N401,21.0,LRP021,24.7217216,90.1809993,,KmPost,Mymensingh 26 km,46.98
N401,21.597,LRP021a,24.7257771,90.184833,,Culvert,Box culvert,46.98
N401,21.98,LRP022,24.7286104,90.1870274,,KmPost,Mymensingh 25 km,46.98
N401,22.522,LRP022a,24.7316938,90.1911386,,Culvert,Box culvert,46.98
N401,22.99,LRP023,24.7341941,90.1948886,,KmPost,Mymensingh 24 km,46.98
N401,23.451,LRP023a,24.7366386,90.1984997,,Culvert,Box culvert,46.98
N401,23.82,LRP023b,24.7387497,90.2008611,,Culvert,Box culvert,46.98
N401,23.99,LRP023c,24.7401386,90.2017222,,Culvert,Box culvert,46.98
N401,23.995,LRP024,24.7401386,90.20175,,KmPost,Mymensingh 24 km,46.98
N401,24.22,LRP024a,24.7419441,90.2026944,BS,Bridge,Bridge start,46.98
N401,24.23,LRP024b,24.7420274,90.2027222,BE,Bridge,Bridge end,46.98
N401,24.995,LRP025,24.7474719,90.2073333,,KmPost,Mymensingh 22  km,46.98
N401,25.176,LRP025a,24.748583,90.2086111,,Culvert,Box culvert,46.98
N401,25.99,LRP026,24.7526667,90.21525,,KmPost,Dhaka 145 km,46.98
N401,26.122,LRP026a,24.7533333,90.2163056,,Culvert,Box culvert,46.98
N401,27.0,LRP027,24.7561111,90.224416,,KmPost,Mymensingh 20 km,46.98
N401,27.101,LRP027a,24.75775,90.2253604,,Culvert,Box culvert,46.98
N401,27.61,LRP027b,24.7580278,90.2299993,,Culvert,Box culvert,46.98
N401,27.99,LRP028,24.7599444,90.2329438,,KmPost,Mymensingh 19 km,46.98
N401,28.177,LRP028a,24.76075,90.234583,,"SideRoad,Left",Z4101(Jamalpur-Muktagacha road),46.98
N401,29.02,LRP029,24.7621667,90.242833,,KmPost,Mymensingh 18 km,46.98
N401,30.015,LRP030,24.7639444,90.2524444,,KmPost,Dhaka 137 km,46.98
N401,30.289,LRP030a,24.7644444,90.2561111,,"Turnoff,Left",Z4104 to Piairpur bazar,46.98
N401,30.406,LRP030b,24.7646389,90.2561944,,"SideRoad,Right","Z4105,(Muktagacha-Fulbaria road)",46.98
N401,31.015,LRP031,24.7640556,90.2620556,,KmPost,Mymensingh 16 km,46.98
N401,31.25,LRP031a,24.7640556,90.2623333,,Culvert,Box Culvert,46.98
N401,32.005,LRP032,24.7615833,90.2709993,,KmPost,Mymensingh 15 km,46.98
N401,32.109,LRP032a,24.7623056,90.2716382,BS,Bridge,Bridge start,46.98
N401,32.126,LRP032b,24.7624167,90.2717493,BE,Bridge,Bridge end,46.98
N401,33.01,LRP033,24.7617778,90.2796938,,KmPost,Mymensingh 14 km,46.98
N401,34.01,LRP034,24.7644167,90.2887219,,KmPost,Mymensingh 13 km,46.98
N401,34.868,LRP034a,24.7674716,90.2964441,,Culvert,Box culvert,46.98
N401,35.005,LRP035,24.7681104,90.2976941,,KmPost,Mymensingh 12 km,46.98
N401,36.005,LRP036,24.7722771,90.3064444,,KmPost,Mymensingh 11 km,46.98
N401,36.615,LRP036a,24.7749438,90.3116389,BS,Bridge,Bridge start,46.98
N401,36.692,LRP036b,24.7754993,90.3120556,BE,Bridge,Bridge end,46.98
N401,37.005,LRP037,24.7770827,90.3146944,,KmPost,Mymensingh 10 km,46.98
N401,37.224,LRP037a,24.7777216,90.3166938,,Culvert,Box culvert,46.98
N401,37.782,LRP037b,24.7783604,90.3221382,,Culvert,Box culvert,46.98
N401,38.005,LRP038,24.7785827,90.3244993,,KmPost,Km post missing,46.98
N401,38.925,LRP039,24.7800271,90.3334719,,KmPost,Information missing,46.98
N401,39.398,LRP039a,24.7809716,90.3379719,,Culvert,Box culvert,46.98
N401,40.025,LRP040,24.7823604,90.3440274,,KmPost,Mymensingh 7 km,46.98
N401,40.043,LRP040a,24.7824993,90.3442219,,"SideRoad,Right","N309, Mymensingh Town by pass",46.98
N401,40.255,LRP040b,24.7827771,90.3461663,,Culvert,Box Culvert,46.98
N401,40.705,LRP040c,24.7826104,90.3506111,,RailRoadCrossing,Rail road crossing,46.98
N401,40.925,LRP041,24.7823882,90.3527778,,KmPost,Mymensingh 6 km,46.98
N401,41.906,LRP041a,24.7804993,90.3621944,,Culvert,Box culvert,46.98
N401,41.925,LRP042,24.780416,90.3625,,KmPost,Km post missing,46.98
N401,42.945,LRP043,24.7770549,90.3553056,,KmPost,Mymensingh 4 km,46.98
N401,43.945,LRP044,24.775166,90.3815549,,KmPost,Mymensingh 3 km,46.98
N401,44.341,LRP044a,24.772916,90.3844997,,Culvert,Box culvert,46.98
N401,44.94,LRP045,24.7694716,90.3890274,,KmPost,Mymensingh 2 km,46.98
N401,45.374,LRP045a,24.7668604,90.392083,,Culvert,Box culvert,46.98
N401,45.94,LRP046,24.7641389,90.3968608,,KmPost,Mymensingh 1 km,46.98
N401,46.541,LRP046a,24.7626111,90.40225,,"SideRoad,Right","Z 3035, Mymensingh-Fulbaria road",46.98
N401,46.98,LRPE,24.7636667,90.4060278,,Others,Road End with Mymensingh Zero Point at Kacharir more and connecting R370.,46.98
N402,0.0,LRPS,24.9718049,90.1785549,,Others,Road Start from R371 at Nakla.,28.0
N402,0.14,LRPSa,24.9730827,90.1786104,BS,Bridge,Bridge start,28.0
N402,0.2,LRPSb,24.9734993,90.1784993,BE,Bridge,Bridge end,28.0
N402,0.629,LRPSc,24.977416,90.1773327,,Culvert,Box Culvert,28.0
N402,0.722,LRPSd,24.978166,90.1771382,,Culvert,Box Culvert,28.0
N402,0.888,LRPSe,24.9791938,90.176916,,"SideRoad,Right",Z4610 to Lava,28.0
N402,1.0,LRP001,24.980666,90.1765827,,KmPost,Km post missing,28.0
N402,1.18,LRP001a,24.982166,90.1762493,,"SideRoad,Left",Z4609 to Shibbari,28.0
N402,1.711,LRP001b,24.9868608,90.1752216,,Culvert,Box Culvert,28.0
N402,1.995,LRP001c,24.9894719,90.1748882,,"SideRoad,Left",Z4610 to Tarakandi,28.0
N402,2.0,LRP002,24.9894997,90.1748882,,KmPost,Km post missing,28.0
N402,2.276,LRP002a,24.9919163,90.1754993,,Culvert,Box Culvert,28.0
N402,3.0,LRP003,24.9979441,90.1775827,,KmPost,Km post missing,28.0
N402,3.76,LRP003a,25.0046944,90.1785549,BS,Bridge,Bridge Start,28.0
N402,3.835,LRP003b,25.0053611,90.1786382,BE,Bridge,Bridge end,28.0
N402,4.0,LRP004,25.0068333,90.1779993,,KmPost,Km post missing,28.0
N402,5.0,LRP005,25.0150833,90.1740549,,KmPost,Km post missing,28.0
N402,5.64,LRP005a,25.0203882,90.171666,,Culvert,Box Culvert,28.0
N402,5.8,LRP005b,25.0232771,90.1703604,,Culvert,Box Culvert,28.0
N402,6.0,LRP006,25.0249438,90.1695827,,KmPost,Km post missing,28.0
N402,7.0,LRP007,25.0317493,90.1675549,,KmPost,Km post missing,28.0
N402,7.19,LRP007a,25.0334997,90.1671938,BS,Bridge,Bridge start,28.0
N402,7.285,LRP007b,25.034280580612243,90.16721533979592,BE,Bridge,Bridge end,28.0
N402,7.68,LRP007c,25.0375274,90.1673049,,Culvert,Box Culvert,28.0
N402,8.0,LRP008,25.0401663,90.1679993,,KmPost,Km post missing,28.0
N402,9.0,LRP009,25.0488052,90.171166,,KmPost / Culvert,Km post missing / Box Culvert,28.0
N402,9.03,LRP009b,25.0490552,90.1712493,,Culvert,Box Culvert,28.0
N402,9.35,LRP009c,25.0518889,90.171916,,Culvert,Box Culvert,28.0
N402,10.0,LRP010,25.0573889,90.1734993,,KmPost,Km post missing,28.0
N402,10.71,LRP010a,25.0608889,90.1784438,BS,Bridge,R.C.C Bridge,28.0
N402,10.808,LRP010b,25.06175,90.1785271,BE,Bridge,R.C.C Bridge,28.0
N402,10.908,LRP010c,25.0626111,90.1786382,,Culvert,Box Culvert,28.0
N402,11.0,LRP011,25.0645833,90.1789993,,KmPost,Information missing,28.0
N402,11.72,LRP011a,25.0696938,90.1804438,,Culvert,Box culvert,28.0
N402,12.0,LRP012,25.0732216,90.1815271,,KmPost,Km post missing,28.0
N402,12.27,LRP012a,25.074958410526317,90.18271145263158,,Culvert,Box culvert,28.0
N402,12.57,LRP012b,25.0768882,90.1840274,,Culvert,Box culvert,28.0
N402,12.59,LRP012c,25.077416,90.1849997,,Culvert,Box culvert,28.0
N402,13.0,LRP013,25.0791382,90.1875274,,KmPost,Information missing,28.0
N402,14.0,LRP014,25.0875552,90.1904163,,KmPost,Km post missing,28.0
N402,14.54,LRP014a,25.0915552,90.1919719,,"Turnoff,Left","Left Turn Bangoan, Right  Haluaghat",28.0
N402,15.0,LRP015,25.0942497,90.1884441,,KmPost,Km post missing,28.0
N402,15.41,LRP015a,25.0970552,90.1887219,,Culvert,Box Culvert,28.0
N402,15.63,LRP015b,25.0991108,90.1889441,,Culvert,Box Culvert,28.0
N402,15.88,LRP015c,25.101081745945944,90.1891318027027,,Culvert,Box Culvert,28.0
N402,16.0,LRP016,25.1020278,90.1892219,,KmPost,Information missing,28.0
N402,16.19,LRP016a,25.1042778,90.1893886,,Others,Pipe Drain,28.0
N402,16.22,LRP016b,25.1065278,90.1896386,BS,Bridge,Bridge start,28.0
N402,16.46,LRP016c,25.1066944,90.1895552,BE,Bridge,Bridge end,28.0
N402,16.82,LRP016d,25.1096944,90.1899441,,Culvert,Box Culvert,28.0
N402,17.0,LRP017,25.111,90.1900552,,KmPost,Km post missing,28.0
N402,17.49,LRP017a,25.1157778,90.1904997,,Culvert,Box culvert,28.0
N402,18.0,LRP018,25.1201104,90.1909163,,KmPost,Information missing,28.0
N402,18.38,LRP018a,25.1235827,90.191333,,Culvert,Box culvert,28.0
N402,19.0,LRP019,25.1293604,90.191833,,KmPost,Information missing,28.0
N402,19.79,LRP019a,25.1358052,90.1929997,,Culvert,Box culvert,28.0
N402,20.0,LRP020,25.1370274,90.1938052,,KmPost,Information missing,28.0
N402,20.99,LRP020a,25.1380552,90.1944441,,Others,Pipe Drain,28.0
N402,21.0,LRP021,25.145083,90.1988052,,KmPost,Information missing,28.0
N402,22.0,LRP022,25.1545556,90.2017778,,KmPost,Information missing,28.0
N402,22.72,LRP022a,25.1601111,90.20325,,Culvert,Box Culvert,28.0
N402,23.0,LRP023,25.1633611,90.2035278,,KmPost,Km post missing,28.0
N402,23.65,LRP023a,25.167416,90.2061944,,Culvert,Box culvert,28.0
N402,24.0,LRP024,25.1711938,90.2073333,,KmPost,Km post missing,28.0
N402,24.12,LRP024a,25.1712771,90.2073611,,Culvert,Box culvert,28.0
N402,24.77,LRP024b,25.177166,90.2088056,,Culvert,Box culvert,28.0
N402,25.0,LRP025,25.1800549,90.2094722,,KmPost,Km post missing,28.0
N402,25.95,LRP025a,25.1867774,90.2121944,,Culvert,Box Culvert,28.0
N402,26.0,LRP026,25.1882219,90.2130833,,KmPost,Km post missing,28.0
N402,26.44,LRP026a,25.1906941,90.2145833,,"SideRoad,Left",Left Z2834,28.0
N402,26.72,LRP026b,25.1929719,90.2155556,,"SideRoad,Right",Right to Bhogai Bridge,28.0
N402,27.0,LRP027,25.1956108,90.2183049,,KmPost,Km post missing,28.0
N402,27.87,LRP027a,25.1999441,90.2237216,,Culvert,Nakugaon Border,28.0
N402,28.0,LRPE,25.2005556,90.2242493,,Others,End of road at Boarder Pillar.,28.0
N5,0.0,LRPS,23.7837774,90.3364163,BS,Others,Road Start From Mirpur Bridge Gabtoli,526.033
N5,0.255,LRPSa,23.7846663,90.3341386,BE,Bridge,Bridge End,526.033
N5,0.96,LRP001,23.7872497,90.3279438,,KmPost,"Paturia 78 km,Nabinagar 21 km",526.033
N5,1.693,LRP001a,23.7900274,90.3218049,BS,Bridge,Bridge Start,526.033
N5,1.745,LRP001b,23.7899997,90.3212771,BE,Bridge,Bridge end,526.033
N5,1.955,LRP002,23.7897774,90.3192771,,KmPost,"Paturia 77 km,Nabinagar 20 km",526.033
N5,2.59,LRP002a,23.7901108,90.3126944,,"SideRoad,Left",Z5069,526.033
N5,2.935,LRP003,23.7906663,90.30975,,KmPost,"Paturia 76 km,Nabinagar 19 km",526.033
N5,3.195,LRP003a,23.7913886,90.3071944,,Culvert,Box culvert,526.033
N5,3.945,LRP004,23.7927497,90.3000833,,KmPost,"Paturia 75 km,Nabinagar 18 km",526.033
N5,4.54,LRP004a,23.7942774,90.2944997,BS,Bridge,Bridge start,526.033
N5,4.56,LRP004b,23.794333,90.2943052,BE,Bridge,Bridge end,526.033
N5,4.945,LRP005,23.7951108,90.2906386,,KmPost,Km post missing,526.033
N5,5.64,LRP005a,23.795085038666667,90.28384270466668,BS,Bridge,Bridge start,526.033
N5,5.695,LRP005b,23.795083,90.2833049,BE,Bridge,Bridge end,526.033
N5,5.925,LRP006,23.794833,90.2810549,,KmPost,"Paturia 73 km,Nabinagar 16 km",526.033
N5,6.925,LRP007,23.7931663,90.2715271,,KmPost,"Paturia 72 km,Nabinagar 15 km",526.033
N5,6.945,LRP007a,23.7931663,90.2713049,,"SideRoad,Left",R504 to Manikganj,526.033
N5,7.985,LRP008,23.7984997,90.2633056,,KmPost,"Paturia 71 km,Nabinagar 14 km",526.033
N5,8.215,LRP008a,23.8005278,90.2628056,BS,Bridge,Bridge start,526.033
N5,8.25,LRP008b,23.8008333,90.2627778,BE,Bridge,Bridge end,526.033
N5,8.935,LRP009,23.8065278,90.2603056,,KmPost,"Paturia 70 km,Nabinagar 13 km",526.033
N5,9.935,LRP010,23.8148611,90.2571944,,KmPost,"Paturia 69 km,Nabinagar 12 km",526.033
N5,10.245,LRP010a,23.8175827,90.2573056,BS,Bridge,Bridge start,526.033
N5,10.37,LRP010b,23.8188049,90.2573611,BE,Bridge,Bridge end,526.033
N5,10.787,LRP010c,23.822416,90.2575556,BS,Bridge,Bridge start,526.033
N5,10.863,LRP010d,23.823166,90.2576389,BE,Bridge,Bridge end,526.033
N5,10.935,LRP011,23.8238049,90.25775,,KmPost,"Paturia 68 km,Nabinagar 11 km",526.033
N5,11.935,LRP012,23.832666,90.2588889,,KmPost,"Paturia 67 km,Nabinagar 10km",526.033
N5,12.935,LRP013,23.839333,90.2570556,,KmPost,"Paturia 66 km,Nabinagar 09 km",526.033
N5,13.935,LRP014,23.8499719,90.2581111,,KmPost,Km post missing,526.033
N5,14.935,LRP015,23.8581111,90.2619722,,KmPost,Km post missing,526.033
N5,15.82,LRP016,23.8637222,90.2679438,,KmPost,"Paturia 63 km,Nabinagar 6 km",526.033
N5,16.815,LRP017,23.8711382,90.2727771,,KmPost,"Paturia 62 km,Nabinagar 5 km",526.033
N5,17.845,LRP018,23.8805271,90.2727771,,KmPost,"Paturia 61 km,Nabinagar 4 km",526.033
N5,18.845,LRP019,23.8895274,90.2720549,,KmPost,"Paturia 60 km,Nabinagar 3 km",526.033
N5,19.227,LRP019a,23.8929441,90.2716382,,Culvert,Box culvert,526.033
N5,19.865,LRP020,23.898583,90.269916,,KmPost,"Paturia 59 km,Nabinagar 2 km",526.033
N5,20.825,LRP020a,23.90642332,90.26615664,,Others,Start of Manikganj Road Division,526.033
N5,20.865,LRP021,23.90675,90.266,,KmPost,Km post missing,526.033
N5,21.865,LRP022,23.9129167,90.2590278,,KmPost,Km post missing,526.033
N5,22.343,LRP022a,23.9132778,90.2584722,,"SideRoad,Right / SideRoad,Right","N540, Nabinagar- Chandra Road/Dhaka Road Division End; Manikganj Road Division Start / N540, Nabinagar- Chandra Road/Dhaka Road Division End; Manikganj Road Division Start",526.033
N5,22.865,LRP023,23.9172216,90.2505833,,KmPost,Km post missing,526.033
N5,23.865,LRP024,23.9173327,90.2408886,,KmPost,Km post missing,526.033
N5,24.355,LRP024a,23.9157778,90.2365274,,Culvert,Box culvert,526.033
N5,24.793,LRP024b,23.9126944,90.2339441,,Bridge,Bridge start,526.033
N5,24.865,LRP025,23.9123889,90.2333608,,KmPost,Km post missing,526.033
N5,24.871,LRP025a,23.9123056,90.2333049,BS,Bridge,Bridge end,526.033
N5,25.161,LRP025b,23.9113889,90.2306382,BE,Bridge,Bridge start,526.033
N5,25.358,LRP025c,23.9108611,90.2288327,,Bridge,Bridge end,526.033
N5,25.915,LRP026,23.9086111,90.223666,,KmPost,"Manikgonj 26 km,Aricha 50 km",526.033
N5,25.965,LRP026a,23.9085278,90.2231938,BS,Bridge,Bridge start,526.033
N5,25.987,LRP026b,23.9085,90.2229993,BE,Bridge,Bridge end,526.033
N5,26.915,LRP027,23.9079167,90.2138056,,KmPost,"Manikgonj 25 km,Aricha 49 km",526.033
N5,27.075,LRP027a,23.9078611,90.2121944,,"SideRoad,Right","R315, Mawna- Nabinagar (Dulivita) Road",526.033
N5,27.447,LRP027b,23.9078333,90.2088056,BS,Bridge,Bridge  start,526.033
N5,27.505,LRP027c,23.9077778,90.20825,BE,Bridge,Bridge end,526.033
N5,27.9,LRP027d,23.9073611,90.2043333,,Others,Road safety start,526.033
N5,27.915,LRP028,23.9073889,90.2028333,,KmPost,Faridpur 105 km,526.033
N5,28.17,LRP028a,23.9075,90.2024722,,Others,Road safety end,526.033
N5,28.925,LRP029,23.9097222,90.1952774,,KmPost,Paturia 49 km,526.033
N5,28.935,LRP029a,23.9098889,90.1944997,BS,Bridge,Bridge start,526.033
N5,29.088,LRP029b,23.9101944,90.1930274,BE,Bridge,Bridge end,526.033
N5,29.521,LRP029c,23.9110278,90.1889163,BS,Bridge,Bridge start,526.033
N5,29.531,LRP029d,23.9110556,90.1887774,BE,Bridge,Bridge end,526.033
N5,29.915,LRP030,23.9117222,90.185083,,KmPost,Barisal 235 km,526.033
N5,30.53,LRP030a,23.91275,90.1790827,,Culvert,Box culvert,526.033
N5,30.915,LRP031,23.9138056,90.1755271,,KmPost,Paturia 47 km,526.033
N5,31.1,LRP031a,23.9143333,90.1737771,BS,Bridge,Bridge start,526.033
N5,31.25,LRP031b,23.9146389,90.1723049,BE,Bridge,Bridge end,526.033
N5,31.915,LRP032,23.9157222,90.1659167,,KmPost,Kushtia 233 km,526.033
N5,32.685,LRP032a,23.9169716,90.1584722,BS,Bridge,Bridge start,526.033
N5,32.7,LRP032b,23.9169993,90.1583333,BE,Bridge,Bridge end,526.033
N5,32.915,LRP033,23.9174438,90.1562778,,KmPost,Dhaka 41 km,526.033
N5,33.18,LRP033a,23.9179716,90.1545833,,"SideRoad,Right",Z5061,526.033
N5,33.915,LRP034,23.9205549,90.147083,,KmPost,Manikganj 19 km,526.033
N5,33.975,LRP034a,23.9207771,90.1465552,BS,Bridge,Bridge start,526.033
N5,33.987,LRP034b,23.9208327,90.1464441,BE,Bridge,Bridge end,526.033
N5,34.128,LRP034c,23.9213049,90.1451663,BS,Bridge,Bridge start,526.033
N5,34.223,LRP034d,23.9216382,90.1443052,BE,Bridge,Bridge end,526.033
N5,34.35,LRP034e,23.9219716,90.1431386,BS,Bridge,Bridge start,526.033
N5,34.361,LRP034f,23.9219993,90.1429997,BE,Bridge,Bridge end,526.033
N5,34.65,LRP034g,23.9223049,90.1411386,,Others,Road safety start,526.033
N5,34.81,LRP034h,23.9223049,90.13902539245284,,Others,Road safety end,526.033
N5,34.915,LRP035,23.9223049,90.1376386,,KmPost,Paturia 43 km,526.033
N5,35.143,LRP035a,23.921916,90.1355552,BS,Bridge,Bridge start,526.033
N5,35.193,LRP035b,23.9217771,90.1350274,BE,Bridge,Bridge end,526.033
N5,35.89,LRP035c,23.920416,90.1283882,,Bridge,Bridge start,526.033
N5,35.915,LRP036,23.92035931632653,90.12811891428572,,KmPost,Jessore 226 km,526.033
N5,35.939,LRP036a,23.9203049,90.1278604,BS,Bridge,Bridge end,526.033
N5,36.348,LRP036b,23.9195271,90.1239716,BE,Bridge,Bridge start,526.033
N5,36.363,LRP036c,23.9194993,90.1237493,BS,Bridge,Bridge end,526.033
N5,36.628,LRP036d,23.9190271,90.1212493,BE,Bridge,Bridge start,526.033
N5,36.661,LRP036e,23.9189716,90.1209438,,Bridge,Bridge end,526.033
N5,36.915,LRP037,23.9187493,90.1194716,,KmPost,Paturia 41 km,526.033
N5,37.273,LRP037a,23.918416,90.1149444,BS,Bridge,Bridge start,526.033
N5,37.285,LRP037b,23.9183882,90.1148611,BE,Bridge,Bridge end,526.033
N5,37.663,LRP037c,23.918166,90.1111389,,Culvert,Box Culvert,526.033
N5,37.89,LRP037d,23.9180549,90.1088611,,Culvert,Box Culvert,526.033
N5,38.096,LRP038,23.9180271,90.1076111,,KmPost,Benapole 245 km,526.033
N5,38.602,LRP038a,23.9175827,90.1018056,BS,Bridge,Bridge start,526.033
N5,38.613,LRP038b,23.9175549,90.1017222,BE,Bridge,Bridge end,526.033
N5,38.905,LRP039,23.9166111,90.0983608,,KmPost,Paturia 39 km,526.033
N5,39.815,LRP039a,23.9159722,90.0901386,,Culvert,Box culvert,526.033
N5,39.905,LRP040,23.9159444,90.0896663,,KmPost,Khulna 313 km,526.033
N5,40.51,LRP040a,23.9155556,90.084583,,Others,Weight Machine,526.033
N5,40.905,LRP041,23.9147778,90.0794993,,KmPost,Paturia 37 km,526.033
N5,41.905,LRP042,23.91225,90.0729716,,KmPost,Manikganj 11 km,526.033
N5,42.323,LRP042a,23.9099444,90.0667216,BS,Bridge,Bridge start,526.033
N5,42.443,LRP042b,23.9095278,90.0656111,BE,Bridge,Bridge end,526.033
N5,42.865,LRP042c,23.9083889,90.0616944,BS,Bridge,Bridge start,526.033
N5,42.88,LRP042d,23.9083611,90.0616111,BE,Bridge,Bridge end,526.033
N5,42.915,LRP043,23.90825,90.0612222,,KmPost,Paturia 35 km,526.033
N5,43.701,LRP043a,23.9069444,90.0536389,BS,Bridge,Bridge start,526.033
N5,43.728,LRP043b,23.9068889,90.0533889,BE,Bridge,Bridge end,526.033
N5,43.915,LRP044,23.9062222,90.0516667,,KmPost,Rajbari 65 km,526.033
N5,44.581,LRP044a,23.9056389,90.0451386,,Culvert,Box culvert,526.033
N5,44.87,LRP044b,23.9054722,90.0443052,,Others,Road safety start,526.033
N5,44.915,LRP045,23.9041389,90.0424163,,KmPost,Paturia 33 km,526.033
N5,45.0,LRP045a,23.9048333,90.0430552,,Others,Road safety End,526.033
N5,45.205,LRP045b,23.9022222,90.0403886,,Bridge / Bridge,Bridge Start / Bridge end,526.033
N5,45.498,LRP045d,23.9001389,90.0388886,,"SideRoad,Right",Z5063,526.033
N5,45.728,LRP045e,23.8983052,90.0379997,BS,Bridge,Bridge Start,526.033
N5,45.78,LRP045f,23.8978608,90.0377774,BE,Bridge,Bridge end,526.033
N5,45.915,LRP046,23.8966941,90.0373052,,KmPost,Faridpur 87 km,526.033
N5,46.915,LRP047,23.8882774,90.033583,,KmPost,Paturia 31 km,526.033
N5,47.74,LRP047a,23.8806382,90.0311938,,Others,Road safety start,526.033
N5,47.92,LRP048,23.8812216,90.0292771,,KmPost,Barisal 217 km,526.033
N5,47.927,LRP048a,23.8810549,90.0284993,,Bridge,Bridge start,526.033
N5,48.07,LRP048b,23.8812493,90.0293882,,Others,Road safety end,526.033
N5,48.422,LRP048c,23.8802771,90.0236938,BS,Bridge,Bridge end,526.033
N5,48.735,LRP048d,23.8793882,90.0208604,BE,Bridge,Bridge Start,526.033
N5,48.752,LRP048e,23.879306517297294,90.02071746216217,,Bridge,Bridge end,526.033
N5,48.92,LRP049,23.8784993,90.0193049,,KmPost,Paturia 29 km,526.033
N5,49.595,LRP049a,23.8743327,90.0144722,BS,Bridge,Bridge start,526.033
N5,49.606,LRP049b,23.8742771,90.0143889,BE,Bridge,Bridge end,526.033
N5,49.92,LRP050,23.8730271,90.0116944,,KmPost,Kushtia 215 km,526.033
N5,49.96,LRP050a,23.8736382,90.0137222,,Others,Road safety start,526.033
N5,50.14,LRP050b,23.8731104,90.0120556,,Others,Road safety end,526.033
N5,50.574,LRP050c,23.871916,90.0053889,,Culvert,Culvert,526.033
N5,50.93,LRP051,23.8716382,90.00375,,KmPost,Paturia 27 km,526.033
N5,51.255,LRP051a,23.8706938,89.9988052,,"SideRoad,Left","R504, Hemayetpur- Manikganj road",526.033
N5,51.575,LRP051b,23.8701382,89.9957219,BS,Bridge,Bridge start,526.033
N5,51.618,LRP051c,23.8700827,89.9953052,BE,Bridge,Bridge end,526.033
N5,51.93,LRP052,23.869916,89.9942774,,KmPost,Jessore 210 km,526.033
N5,52.815,LRP052a,23.8716382,89.983833,BS,Bridge,Bridge start,526.033
N5,52.85,LRP052b,23.871666,89.9835552,BE,Bridge,Bridge end,526.033
N5,52.93,LRP053,23.8718049,89.9827493,,KmPost,Paturia 25 km,526.033
N5,53.93,LRP054,23.8722493,89.9722493,,KmPost,Benapole 247 km,526.033
N5,54.33,LRP054a,23.8713327,89.9692771,BS,Bridge,Bridge start,526.033
N5,54.342,LRP054b,23.8713049,89.9691938,BE,Bridge,Bridge end,526.033
N5,54.57,LRP054c,23.8707216,89.9671382,,Others,Road safety start,526.033
N5,54.77,LRP054d,23.869666,89.9655833,,Others,Road safety end,526.033
N5,54.93,LRP055,23.8683882,89.9648333,,KmPost,Paturia 23 km,526.033
N5,55.445,LRP055a,23.8642778,89.9624444,BS,Bridge,Bridge start,526.033
N5,55.46,LRP055b,23.8641944,89.9623889,BE,Bridge,Bridge end,526.033
N5,55.76,LRP056,23.8630833,89.96175,,KmPost,Khulna 297 km,526.033
